Date,Mean_Gauge,Discharge (cumecs),filename
2008-06-21,2.66,256.159,Inundation Boundary (21JUN2008 00 00 00 Value_0).tif
2011-06-22,2.66,278.877,Inundation Boundary (22JUN2011 00 00 00 Value_0).tif
2007-07-06,2.68,202.461,Inundation Boundary (06JUL2007 00 00 00 Value_0).tif
2007-06-01,2.69,242.535,Inundation Boundary (01JUN2007 00 00 00 Value_0).tif
2002-08-14,2.7,225.3,Inundation Boundary (14AUG2002 00 00 00 Value_0).tif
2001-06-11,2.71,194.4,Inundation Boundary (11JUN2001 00 00 00 Value_0).tif
2009-08-07,2.72,204.537,Inundation Boundary (07AUG2009 00 00 00 Value_0).tif
2004-07-18,2.72,450.0,Inundation Boundary (18JUL2004 00 00 00 Value_0).tif
2007-06-06,2.73,215.786,Inundation Boundary (06JUN2007 00 00 00 Value_0).tif
2007-06-21,2.735,221.527,Inundation Boundary (21JUN2007 00 00 00 Value_0).tif
2004-07-13,2.74,195.3,Inundation Boundary (13JUL2004 00 00 00 Value_0).tif
2005-06-28,2.75,1607.639,Inundation Boundary (28JUN2005 00 00 00 Value_0).tif
2010-07-07,2.76,228.84,Inundation Boundary (07JUL2010 00 00 00 Value_0).tif
2004-06-27,2.77,200.0,Inundation Boundary (27JUN2004 00 00 00 Value_0).tif
2010-07-02,2.77,172.872,Inundation Boundary (02JUL2010 00 00 00 Value_0).tif
2007-07-01,2.78,271.007,Inundation Boundary (01JUL2007 00 00 00 Value_0).tif
2012-07-24,2.79,1157.076,Inundation Boundary (24JUL2012 00 00 00 Value_0).tif
2004-07-25,2.79,300.0,Inundation Boundary (25JUL2004 00 00 00 Value_0).tif
2009-08-20,2.81,230.579,Inundation Boundary (20AUG2009 00 00 00 Value_0).tif
2010-06-17,2.81,240.675,Inundation Boundary (17JUN2010 00 00 00 Value_0).tif
2009-08-25,2.85,229.836,Inundation Boundary (25AUG2009 00 00 00 Value_0).tif
2012-07-19,2.88,265.909,Inundation Boundary (19JUL2012 00 00 00 Value_0).tif
2002-07-23,2.89,228.9,Inundation Boundary (23JUL2002 00 00 00 Value_0).tif
2010-06-22,2.9,250.524,Inundation Boundary (22JUN2010 00 00 00 Value_0).tif
2009-08-02,2.94,268.452,Inundation Boundary (02AUG2009 00 00 00 Value_0).tif
2004-07-08,2.96,240.2,Inundation Boundary (08JUL2004 00 00 00 Value_0).tif
2001-07-08,2.97,290.0,Inundation Boundary (08JUL2001 00 00 00 Value_0).tif
2003-07-01,2.97,664.1,Inundation Boundary (01JUL2003 00 00 00 Value_0).tif
2010-07-13,2.975,209.834,Inundation Boundary (13JUL2010 00 00 00 Value_0).tif
2001-06-16,2.975,350.1,Inundation Boundary (16JUN2001 00 00 00 Value_0).tif
2009-07-09,3.0,271.67,Inundation Boundary (09JUL2009 00 00 00 Value_0).tif
2001-06-17,3.02,420.0,Inundation Boundary (17JUN2001 00 00 00 Value_0).tif
2004-07-07,3.03,302.2,Inundation Boundary (07JUL2004 00 00 00 Value_0).tif
2009-08-01,3.04,259.298,Inundation Boundary (01AUG2009 00 00 00 Value_0).tif
2009-08-29,3.05,947.456,Inundation Boundary (29AUG2009 00 00 00 Value_0).tif
2001-09-27,3.05,357.0,Inundation Boundary (27SEP2001 00 00 00 Value_0).tif
2001-07-02,3.05,380.6,Inundation Boundary (02JUL2001 00 00 00 Value_0).tif
2010-07-12,3.06,275.418,Inundation Boundary (12JUL2010 00 00 00 Value_0).tif
2008-07-23,3.07,401.782,Inundation Boundary (23JUL2008 00 00 00 Value_0).tif
2003-06-30,3.07,357.8,Inundation Boundary (30JUN2003 00 00 00 Value_0).tif
2001-07-06,3.075,335.9,Inundation Boundary (06JUL2001 00 00 00 Value_0).tif
2009-07-17,3.08,1489.148,Inundation Boundary (17JUL2009 00 00 00 Value_0).tif
2008-09-17,3.09,395.045,Inundation Boundary (17SEP2008 00 00 00 Value_0).tif
2009-09-27,3.1,359.496,Inundation Boundary (27SEP2009 00 00 00 Value_0).tif
2008-06-30,3.1,557.173,Inundation Boundary (30JUN2008 00 00 00 Value_0).tif
2001-09-22,3.11,368.7,Inundation Boundary (22SEP2001 00 00 00 Value_0).tif
2002-08-05,3.12,716.2,Inundation Boundary (05AUG2002 00 00 00 Value_0).tif
2008-09-08,3.14,445.513,Inundation Boundary (08SEP2008 00 00 00 Value_0).tif
2001-09-18,3.15,377.6,Inundation Boundary (18SEP2001 00 00 00 Value_0).tif
2008-09-12,3.17,527.463,Inundation Boundary (12SEP2008 00 00 00 Value_0).tif
2006-07-22,3.17,607.9,Inundation Boundary (22JUL2006 00 00 00 Value_0).tif
